,,,,,,,,
"
",,,,,,,,
Select filter criteria below:,,,,,,,,
Start Date:,03/01/2014 ,Start Time:,12:00 AM ,Building:,All ,,,
 End Date:,03/31/2014 ,End Time:,11:59 PM,Room:,All,,,
,,,,,,,,
,,,,,,,,
Name,Building,Room,Days met,Start Date,End Date,Start Time,End Time,
Civics Education  ,ONLINE ,ONLINE ,M ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
"Collaboration, Families and Case Managem  ",ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Culture Learning in Schools: Latino  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Differentiated Curriculum and Pedagogy f  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Discourse Analysis and Technology in STE  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Establishing and Maintaining an Effectiv  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Guided Practice  ,ATT ,604,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ATT ,604,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ATT ,606,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Human Differences  ,ATT ,604,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Human Differences  ,ATT ,606,M ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Human Differences  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Human Differences  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Human Differences  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Human Differences  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Integrating English Language Arts and So  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Integrating English Language Arts and So  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Integrating Literacy in Secondary Conten  ,CANCEL ,CANCEL ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Integrating Literacy in Secondary Conten  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Multimedia Literacy  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Political and Academic Issues Affecting  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Practicum in Teaching English as a Secon  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Systems of the English Language  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Teacher Leadership  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Teaching English Language Arts in Second  ,ATT ,606,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Teaching English to Speakers of Other La  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:30 PM ,
Teaching Mathematics and Science  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Teaching Physical Education  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Teaching Science in Secondary Classrooms  ,ATT ,604,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Teaching Social Studies in Secondary Cla  ,ATT ,608,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Teaching Social Studies in Secondary Cla  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Teaching Social Studies in Secondary Cla  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Teaching Social Studies in Secondary Cla  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Teaching Social Studies in Secondary Cla  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:00 PM ,08:00 PM ,
Understanding the Social Context of Urba  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Capstone Portfolio in Learning and Instr  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
Capstone Portfolio in Learning and Instr  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
Capstone Portfolio in Learning and Instr  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
Capstone Portfolio in Learning and Instr  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
Capstone Portfolio in Learning and Instr  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Human Differences  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Integrating Literacy in Secondary Conten  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
Integrating Literacy in Secondary Conten  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
New Media Literacies in High Needs Schoo  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
New Media Literacies in High Needs Schoo  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:30 PM ,07:30 PM ,
Political and Academic Issues Affecting  ,CANCEL ,CANCEL ,W ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
